date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:59:15	2669/2669	---M--	200	added ('OK')	text/css	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/css/slick-theme.css	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/css/slick-theme.css	(from http://iglyphic.com/themes/html/html_elevation/about.html)
14:59:16	1065/1065	---M--	200	added ('OK')	text/css	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/css/owl.carousel.min.css	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/css/owl.carousel.min.css	(from http://iglyphic.com/themes/html/html_elevation/about.html)
14:59:17	1066/1066	---M--	200	added ('OK')	text/css	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/css/owl.theme.min.css	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/css/owl.theme.min.css	(from http://iglyphic.com/themes/html/html_elevation/about.html)
14:59:18	10657/10657	---M--	200	added ('OK')	text/css	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/css/responsive.css	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/css/responsive.css	(from http://iglyphic.com/themes/html/html_elevation/about.html)
14:59:20	73302/73302	---M--	200	added ('OK')	text/css	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/css/style.css	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/css/style.css	(from http://iglyphic.com/themes/html/html_elevation/about.html)
14:59:22	46992/46992	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/index.html	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/index.html	(from http://iglyphic.com/themes/html/html_elevation/about.html)
14:59:22	4111/4111	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/images/logo.png	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/images/logo.png	(from http://iglyphic.com/themes/html/html_elevation/about.html)
14:59:24	42823/42823	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/index-two.html	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/index-two.html	(from http://iglyphic.com/themes/html/html_elevation/about.html)
14:59:24	24748/24748	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/event.html	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/event.html	(from http://iglyphic.com/themes/html/html_elevation/about.html)
14:59:25	15514/15514	---M--	200	added ('OK')	application/javascript	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/js/modernizr-2.8.3.min.js	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/js/modernizr-2.8.3.min.js	(from http://iglyphic.com/themes/html/html_elevation/about.html)
14:59:25	29097/29097	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/event-detail.html	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/event-detail.html	(from http://iglyphic.com/themes/html/html_elevation/about.html)
14:59:26	36698/36698	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/causes-grid.html	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/causes-grid.html	(from http://iglyphic.com/themes/html/html_elevation/about.html)
14:59:27	35218/35218	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/causes-list.html	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/causes-list.html	(from http://iglyphic.com/themes/html/html_elevation/about.html)
14:59:28	28435/28435	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/blog.html	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/blog.html	(from http://iglyphic.com/themes/html/html_elevation/about.html)
14:59:29	36624/36624	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/blog-detail.html	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/blog-detail.html	(from http://iglyphic.com/themes/html/html_elevation/about.html)
14:59:29	24840/24840	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/donate.html	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/donate.html	(from http://iglyphic.com/themes/html/html_elevation/about.html)
14:59:31	23451/23451	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/contact-us.html	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/contact-us.html	(from http://iglyphic.com/themes/html/html_elevation/about.html)
14:59:34	5715/5715	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/images/home/play-button.png	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/images/home/play-button.png	(from http://iglyphic.com/themes/html/html_elevation/about.html)
14:59:37	43022/43022	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/images/about/2.jpg	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/images/about/2.jpg	(from http://iglyphic.com/themes/html/html_elevation/about.html)
